date,open,high,low,close,volume
1502928000.0,301.13,312.18,298.0,302.0,7030.71034
1503014400.0,302.0,311.79,283.94,293.96,9537.84646
1503100800.0,293.31,299.9,278.0,290.91,2146.19773
1503187200.0,289.41,300.53,282.85,299.1,2510.13871
1503273600.0,299.1,346.52,294.6,323.29,5219.44542
1503360000.0,321.04,330.41,144.21,309.8,7956.35088
1503446400.0,312.25,324.99,309.41,315.74,8665.72569
1503532800.0,315.74,328.04,314.01,323.42,6753.27192
1503619200.0,323.42,338.28,323.42,327.24,7125.96962
1503705600.0,327.24,335.44,323.41,330.79,4877.68521
1503792000.0,332.18,348.13,330.73,348.13,4635.43715
1503878400.0,348.11,351.0,331.95,346.0,4279.1817
1503964800.0,347.0,377.6,346.0,374.7,3032.13425
1504051200.0,374.7,393.71,362.05,385.93,4446.59608
1504137600.0,384.64,389.36,377.78,384.79,4435.86855
1504224000.0,386.44,394.39,383.18,388.46,4198.68434
1504310400.0,388.58,394.32,320.08,343.14,8240.32724
1504396800.0,343.56,367.28,320.08,341.77,5253.62211
1504483200.0,339.29,344.55,267.94,283.77,6737.81061
1504569600.0,286.81,321.52,235.55,312.09,8344.41924
1504656000.0,313.29,336.34,312.09,335.0,5486.30988
1504742400.0,335.01,342.5,320.17,334.49,3103.89745
1504828800.0,334.49,335.1,272.0,302.99,4915.75693
1504915200.0,300.01,307.0,281.66,296.74,2740.58822
1505001600.0,296.72,302.78,261.03,293.5,4156.45099
1505088000.0,293.51,304.98,285.21,297.3,4829.64647
1505174400.0,297.78,316.46,286.01,293.96,5176.31402
1505260800.0,293.93,294.5,257.05,276.91,6451.22836
1505347200.0,275.76,283.77,215.0,215.21,12601.95676
1505433600.0,217.0,270.93,192.0,253.0,14223.8953
1505520000.0,255.99,271.81,235.51,249.31,10362.06011
1505606400.0,249.32,264.39,239.02,257.55,4614.53337
1505692800.0,257.53,306.22,257.11,294.57,4125.97051
1505779200.0,296.0,300.0,277.41,284.0,1869.90852
1505865600.0,284.01,294.0,275.91,282.0,1060.56734
1505952000.0,285.1,287.0,252.1,257.0,1912.55583
1506038400.0,258.0,272.97,253.01,264.0,1464.5125
1506124800.0,259.99,286.23,255.11,285.93,2824.33572
1506211200.0,286.5,294.61,275.0,282.0,5575.54422
1506297600.0,282.0,299.0,281.34,294.42,5870.48035
1506384000.0,294.42,296.81,286.24,287.9,4566.92804
1506470400.0,289.91,313.0,286.13,309.74,5518.10382
1506556800.0,309.81,311.81,296.89,302.44,6600.90922
1506643200.0,302.44,303.0,274.0,292.22,11089.19902
1506729600.0,292.62,307.49,292.22,304.36,4020.60795
1506816000.0,305.13,306.0,294.0,303.95,5060.05758
1506902400.0,303.94,305.0,295.0,296.5,3710.83747
1506988800.0,298.15,301.99,283.18,292.48,5546.85702
1507075200.0,292.47,297.97,288.0,291.99,4014.88792
1507161600.0,290.0,297.44,285.53,294.81,3412.39016
1507248000.0,294.78,310.8,293.78,310.8,3541.02359
1507334400.0,309.9,318.5,303.6,311.01,2165.79076
1507420800.0,311.08,317.07,309.0,311.07,2960.93198
1507507200.0,311.13,312.13,286.65,297.19,4885.37863
1507593600.0,297.35,308.56,293.0,298.64,6749.27468
1507680000.0,300.88,305.5,298.02,304.01,3724.6863
1507766400.0,304.01,310.0,302.71,303.99,7827.75596
1507852800.0,303.52,353.96,297.0,337.96,17925.36585
1507939200.0,337.96,349.8,335.0,342.0,7731.96469
1508025600.0,342.0,348.0,316.17,337.96,10011.34708
1508112000.0,337.5,354.0,332.78,335.19,8663.47097
1508198400.0,335.18,336.58,312.65,315.19,8146.74356
1508284800.0,315.19,318.0,284.68,309.7,12908.0454
1508371200.0,311.52,315.0,300.0,308.66,8678.74739
1508457600.0,308.66,311.18,302.0,304.51,8739.31764
1508544000.0,304.51,305.34,290.0,298.94,8591.63121
1508630400.0,298.99,306.99,290.0,293.79,7173.06893
1508716800.0,293.78,294.6,272.2,281.09,9658.78404
1508803200.0,282.27,310.0,275.5,297.38,14066.67924
1508889600.0,295.43,300.0,281.0,294.49,9703.09261
1508976000.0,294.1,299.76,291.03,294.71,7813.02717
1509062400.0,294.72,298.1,292.03,296.33,6272.14802
1509148800.0,296.14,297.0,290.1,291.87,5848.86589
1509235200.0,291.86,309.4,291.86,305.0,9019.13315
1509321600.0,305.0,316.0,302.1,307.25,8946.12026
1509408000.0,305.95,309.99,304.01,304.9,7640.41182
1509494400.0,304.89,305.9,286.34,287.01,9843.1666
1509580800.0,287.3,293.0,274.73,283.12,13423.8572
1509667200.0,283.12,307.0,282.0,304.08,8194.03465
1509753600.0,304.09,304.99,292.11,298.04,7828.41744
1509840000.0,298.1,302.14,293.13,295.53,6638.42119
1509926400.0,295.19,305.58,290.11,297.97,7515.50103
1510012800.0,297.25,303.52,287.0,291.78,9418.57881
1510099200.0,291.31,320.0,290.02,303.02,15961.85772
1510185600.0,303.6,329.0,299.5,317.87,11151.29946
1510272000.0,318.5,322.65,285.82,293.5,15597.16557
1510358400.0,293.52,318.0,291.91,310.02,10850.16279
1510444800.0,310.87,316.99,281.01,305.24,21123.15319
1510531200.0,304.0,318.88,303.7,312.99,15551.67434
1510617600.0,313.0,337.54,312.94,335.61,17709.2227
1510704000.0,335.6,339.0,324.0,331.33,15597.16131
1510790400.0,330.98,334.75,321.41,331.49,14145.71696
1510876800.0,331.49,334.6,323.84,331.23,18042.02544
1510963200.0,331.2,349.9,326.01,346.66,14361.4973
1511049600.0,346.66,373.56,343.07,354.15,19397.74898
1511136000.0,355.15,372.5,353.9,367.42,18277.0194
1511222400.0,367.42,375.5,350.02,362.12,26237.64398
1511308800.0,362.12,384.84,359.0,380.65,18121.58484
1511395200.0,380.63,425.0,370.02,405.0,25409.00111
1511481600.0,405.03,475.0,392.8,469.0,30398.35831
1511568000.0,467.57,484.47,450.0,461.82,21428.63117
1511654400.0,461.0,465.0,436.14,462.84,21691.11759
1511740800.0,462.84,486.94,453.0,472.31,23761.11416
1511827200.0,472.32,477.5,453.5,466.17,23967.24816
1511913600.0,466.17,515.0,385.0,421.7,51313.49571
1512000000.0,421.92,460.0,387.01,427.43,45184.22265
1512086400.0,428.05,465.97,413.74,457.51,33072.21995
1512172800.0,457.53,471.91,445.0,457.63,25796.14
1512259200.0,457.31,485.9,440.11,460.3,24490.05997
1512345600.0,460.3,470.98,445.0,466.67,23182.65949
1512432000.0,466.66,468.67,445.21,452.26,25387.11695
1512518400.0,452.26,455.1,400.0,411.01,38638.76036
1512604800.0,413.5,427.61,375.01,406.33,41343.73269
1512691200.0,406.52,456.78,390.0,442.56,41064.60305
1512777600.0,442.56,488.0,426.4,460.0,41918.34044
